gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2513707081	343	38.17	3	338	1	333	1.0e-76	280	COG1609	Transcriptional regulators	333
2513707082	336	35.04	1	336	2	350	3.0e-62	232	COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	350
2513707083	262	42.75	8	260	2	251	8.0e-41	160	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707084	352	25	18	348	2	311	5.0e-28	118	COG0524	Sugar kinases, ribokinase family	311
2513707085	223	46.4	1	220	1	220	8.0e-55	207	COG3822	ABC-type sugar transport system, auxiliary component	225
2513707086	384	23.87	2	378	1	341	3.0e-26	112	COG0673	Predicted dehydrogenases and related proteins	342
2513707087	274	29.26	2	267	9	264	4.0e-46	178	COG1830	DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes	265
2513707088	257	42.58	7	255	1	251	4.0e-43	168	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707089	241	36.33	1	240	1	245	8.0e-59	220	COG4221	Short-chain alcohol dehydrogenase of unknown specificity	246
2513707090	425	53.43	4	422	3	424	0.0e+00	524	COG4573	Predicted tagatose 6-phosphate kinase	426
2513707091	325	34.18	14	322	3	311	3.0e-45	176	COG0524	Sugar kinases, ribokinase family	311
2513707092	404	26.48	86	388	1	314	1.0e-33	137	COG1940	Transcriptional regulator/sugar kinase	314
2513707093	294	24.09	4	264	1	273	5.0e-28	118	COG1082	Sugar phosphate isomerases/epimerases	274
2513707094	477	22.15	14	470	7	430	5.0e-18	86.2	COG1653	ABC-type sugar transport system, periplasmic component	433
2513707095	291	33.1	1	280	6	284	2.0e-48	186	COG1175	ABC-type sugar transport systems, permease components	295
2513707096	278	39.3	1	277	3	281	5.0e-48	184	COG0395	ABC-type sugar transport system, permease component	281
2513707098	353	56.16	1	348	1	338	3.0e-129	455	COG3839	ABC-type sugar transport systems, ATPase components	338
2513707099	241	37.4	1	238	1	250	2.0e-40	159	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707101	475	24.07	1	475	1	474	0.0e+00	476	COG2160	L-arabinose isomerase	497
2513707102	334	48.34	34	333	13	313	1.0e-53	204	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components	316
2513707103	519	51.21	14	505	9	497	0.0e+00	523	COG1129	ABC-type sugar transport system, ATPase component	500
2513707104	389	24.02	28	352	2	321	1.0e-15	77.5	COG1879	ABC-type sugar transport system, periplasmic component	322
2513707105	289	37.96	182	289	17	124	2.0e-20	93.4	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513707107	245	31.82	18	235	3	206	4.0e-23	101	COG2197	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	211
2513707110	571	41.34	7	570	6	570	0.0e+00	477	COG4618	ABC-type protease/lipase transport system, ATPase and permease components	580
2513707114	81	30.59	1	79	2	86	2.0e-05	41	COG2026	Cytotoxic translational repressor of toxin-antitoxin stability system	90
2513707116	70	38.1	11	69	1	63	1.0e-10	58.5	COG3024	Uncharacterized protein conserved in bacteria	65
2513707118	206	49.75	3	201	1	193	7.0e-62	230	COG0424	Nucleotide-binding protein implicated in inhibition of septum formation	193
2513707119	72	63.89	1	72	1	72	3.0e-23	99.9	COG0361	Translation initiation factor 1 (IF-1)	75
2513707120	158	32.12	16	147	5	139	2.0e-27	114	COG0394	Protein-tyrosine-phosphatase	139
2513707121	157	82.17	1	157	4	160	3.0e-78	283	COG5328	Uncharacterized protein conserved in bacteria	160
2513707122	432	57.62	13	431	7	424	0.0e+00	547	COG0141	Histidinol dehydrogenase	425
2513707124	430	59.77	1	430	1	420	0.0e+00	606	COG0766	UDP-N-acetylglucosamine enolpyruvyl transferase	421
2513707131	685	34.11	4	664	1	655	3.0e-127	449	COG0210	Superfamily I DNA and RNA helicases	655
2513707132	354	29.96	8	259	5	257	2.0e-33	136	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2513707133	653	42.52	1	632	10	640	0.0e+00	546	COG5001	Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	663
2513707134	344	53.73	1	321	1	321	6.0e-129	453	COG1087	UDP-glucose 4-epimerase	329
2513707135	388	38.21	26	388	24	392	8.0e-93	334	COG0436	Aspartate/tyrosine/aromatic aminotransferase	393
2513707136	145	53.52	1	142	3	130	3.0e-40	157	COG1970	Large-conductance mechanosensitive channel	130
2513707137	1173	24.86	1	536	2	493	4.0e-67	250	COG0591	Na+/proline symporter	493
2513707138	183	19.75	6	163	5	166	1.0e-04	39.6	COG1309	Transcriptional regulator	201
2513707139	400	19.4	4	396	1	394	2.0e-04	41	COG2814	Arabinose efflux permease	394
2513707140	147	27.48	10	138	8	136	2.0e-14	71.9	COG4319	Ketosteroid isomerase homolog	137
2513707141	134	24.24	3	133	2	126	4.0e-17	80.5	COG3791	Uncharacterized conserved protein	133
2513707142	147	37.07	26	140	13	125	3.0e-08	51.1	COG1846	Transcriptional regulators	126
2513707143	69	59.42	1	69	1	67	8.0e-24	101	COG1278	Cold shock proteins	67
2513707144	737	43.99	324	612	1	289	2.0e-84	307	COG1250	3-hydroxyacyl-CoA dehydrogenase	307
2513707145	127	22.43	13	117	19	124	1.0e-09	55.4	COG0662	Mannose-6-phosphate isomerase	127
2513707146	402	35.8	1	402	1	392	3.0e-74	272	COG0183	Acetyl-CoA acetyltransferase	392
2513707147	598	34.02	32	462	3	393	4.0e-68	252	COG1960	Acyl-CoA dehydrogenases	393
2513707148	233	29.84	1	233	1	246	9.0e-25	107	COG4221	Short-chain alcohol dehydrogenase of unknown specificity	246
2513707149	121	19.85	3	115	2	136	2.0e-03	34.8	COG0346	Lactoylglutathione lyase and related lyases	138
2513707151	307	29.08	8	289	1	252	1.0e-14	73.9	COG0730	Predicted permeases	258
2513707153	185	23.78	3	185	1	166	5.0e-19	87.7	COG0262	Dihydrofolate reductase	167
2513707154	193	63.64	6	192	8	194	1.0e-73	268	COG4764	Uncharacterized protein conserved in bacteria	197
2513707155	241	40.17	22	239	1	229	4.0e-56	211	COG1407	Predicted ICC-like phosphoesterases	235
2513707156	836	33.14	5	835	1	802	0.0e+00	846	COG1201	Lhr-like helicases	814
2513707158	166	35.03	1	157	1	150	3.0e-30	124	COG1959	Predicted transcriptional regulator	150
2513707160	133	47.93	1	120	8	128	8.0e-30	122	COG2852	Uncharacterized protein conserved in bacteria	129
2513707162	211	32.85	8	211	2	207	2.0e-32	132	COG1284	Uncharacterized conserved protein	289
2513707163	310	54.27	19	310	1	287	3.0e-84	305	COG4976	Predicted methyltransferase (contains TPR repeat)	287
2513707166	448	29.05	1	439	1	443	2.0e-52	200	COG0534	Na+-driven multidrug efflux pump	455
2513707167	362	46.06	44	351	1	305	3.0e-85	308	COG0167	Dihydroorotate dehydrogenase	310
2513707168	117	57.27	6	115	5	114	7.0e-36	142	COG3502	Uncharacterized protein conserved in bacteria	115
2513707170	215	38	6	204	3	201	2.0e-40	159	COG2197	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	211
2513707171	225	45.37	1	225	1	211	2.0e-48	186	COG2932	Predicted transcriptional regulator	214
2513707174	291	28.11	14	291	2	268	2.0e-32	133	COG0834	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain	275
2513707175	663	37.06	218	591	7	408	2.0e-47	184	COG0840	Methyl-accepting chemotaxis protein	408
2513707176	126	23.74	1	123	1	138	3.0e-03	34	COG0346	Lactoylglutathione lyase and related lyases	138
2513707178	382	34.55	246	353	15	121	2.0e-13	70.3	COG2207	AraC-type DNA-binding domain-containing proteins	127
2513707179	348	37.69	30	340	1	314	8.0e-55	207	COG0451	Nucleoside-diphosphate-sugar epimerases	314
2513707180	328	54.6	4	327	1	326	0.0e+00	488	COG1087	UDP-glucose 4-epimerase	329
2513707181	635	22.97	51	474	3	438	2.0e-46	181	COG1215	Glycosyltransferases, probably involved in cell wall biogenesis	439
2513707182	321	42.54	56	317	81	348	5.0e-80	291	COG4124	Beta-mannanase	355
2513707198	359	26.07	108	358	1	220	3.0e-26	113	COG2135	Uncharacterized conserved protein	226
2513707201	348	38.95	8	337	79	418	3.0e-77	282	COG1793	ATP-dependent DNA ligase	444
2513707209	182	35.35	1	178	1	198	6.0e-26	110	COG1961	Site-specific recombinases, DNA invertase Pin homologs	222
2513707210	541	38.08	4	537	2	486	2.0e-91	329	COG0286	Type I restriction-modification system methyltransferase subunit	489
2513707212	423	23.69	139	416	115	388	3.0e-17	83.6	COG0732	Restriction endonuclease S subunits	391
2513707213	1005	27.49	4	977	7	953	3.0e-119	423	COG0610	Type I site-specific restriction-modification system, R (restriction) subunit and related helicases	962
2513707214	399	18.95	93	390	6	309	5.0e-09	56.1	COG0582	Integrase	309
2513707216	364	22.07	142	363	1	181	2.0e-34	140	COG0717	Deoxycytidine deaminase	183
2513707217	394	45.71	1	393	2	396	0.0e+00	478	COG0626	Cystathionine beta-lyases/cystathionine gamma-synthases	396
2513707218	130	59.52	2	127	1	126	1.0e-52	198	COG2967	Uncharacterized protein affecting Mg2+/Co2+ transport	126
2513707220	330	42.54	13	326	1	283	1.0e-86	313	COG1281	Disulfide bond chaperones of the HSP33 family	286
2513707221	304	53.57	1	302	4	310	2.0e-124	439	COG0078	Ornithine carbamoyltransferase	310
2513707222	399	53.15	2	395	12	404	0.0e+00	515	COG4992	Ornithine/acetylornithine aminotransferase	404
2513707223	177	62.79	1	172	1	168	8.0e-57	213	COG5352	Uncharacterized protein conserved in bacteria	169
2513707224	227	51.09	3	227	1	227	3.0e-60	224	COG0745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	229
2513707225	237	44.65	5	219	8	222	1.0e-48	186	COG0704	Phosphate uptake regulator	240
2513707226	271	66.93	21	271	5	253	4.0e-129	453	COG1117	ABC-type phosphate transport system, ATPase component	253
2513707227	440	39.93	150	440	1	292	1.0e-70	260	COG0581	ABC-type phosphate transport system, permease component	292
2513707228	493	43.4	177	492	6	310	3.0e-71	262	COG0573	ABC-type phosphate transport system, permease component	310
2513707229	344	25.14	1	331	12	318	2.0e-37	149	COG0226	ABC-type phosphate transport system, periplasmic component	318
2513707230	133	48.76	1	120	8	128	2.0e-30	124	COG2852	Uncharacterized protein conserved in bacteria	129
2513707232	293	54.34	9	273	6	270	2.0e-99	355	COG2326	Uncharacterized conserved protein	270
2513707235	319	32.13	1	319	3	334	3.0e-67	249	COG2070	Dioxygenases related to 2-nitropropane dioxygenase	336
2513707237	547	60.39	70	530	11	472	0.0e+00	636	COG3278	Cbb3-type cytochrome oxidase, subunit 1	482
2513707238	250	56.36	5	240	2	227	2.0e-87	315	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit	227
2513707239	56	32.08	3	55	1	53	3.0e-08	49.8	COG4736	Cbb3-type cytochrome oxidase, subunit 3	60
2513707240	292	28.3	60	218	3	149	2.0e-16	80	COG2010	Cytochrome c, mono- and diheme variants	150
2513707242	268	34.31	1	268	7	280	5.0e-52	197	COG5473	Predicted integral membrane protein	290
2513707243	755	40.11	35	734	1	707	0.0e+00	590	COG2217	Cation transport ATPase	713
2513707244	52	51.02	1	49	1	49	3.0e-11	60.3	COG3197	Uncharacterized protein, possibly involved in nitrogen fixation	58
2513707246	496	18.8	2	415	3	362	1.0e-10	61.4	COG2814	Arabinose efflux permease	394
2513707249	125	20.97	3	119	4	117	8.0e-03	32.6	COG3631	Ketosteroid isomerase-related protein	133
2513707250	152	27.64	15	137	2	124	2.0e-11	61.9	COG1846	Transcriptional regulators	126
2513707251	666	39.17	34	634	1	604	0.0e+00	653	COG4178	ABC-type uncharacterized transport system, permease and ATPase components	604
2513707252	156	38	1	149	5	150	2.0e-32	131	COG0590	Cytosine/adenosine deaminases	152
2513707253	299	28.9	75	292	10	223	9.0e-28	117	COG1802	Transcriptional regulators	230
2513707254	500	53.15	104	500	5	381	0.0e+00	499	COG2721	Altronate dehydratase	381
2513707255	339	29.22	1	323	1	305	8.0e-54	204	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
2513707256	148	56.64	1	142	1	143	3.0e-46	177	COG4154	Fucose dissimilation pathway protein FucU	144
2513707257	329	32.09	2	319	1	316	8.0e-42	164	COG1879	ABC-type sugar transport system, periplasmic component	322
2513707258	517	47.99	23	516	2	499	0.0e+00	567	COG1129	ABC-type sugar transport system, ATPase component	500
2513707259	324	42.63	13	322	2	312	1.0e-56	213	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components	316
2513707260	339	35.34	1	335	1	348	3.0e-63	235	COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	350
2513707261	241	46.25	3	239	2	241	5.0e-64	237	COG3142	Uncharacterized protein involved in copper resistance	241
2513707262	413	21.4	104	399	6	297	3.0e-19	90.1	COG0583	Transcriptional regulator	297
2513707263	302	42.62	2	298	12	300	4.0e-79	288	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)	300
2513707264	388	46.02	156	381	3	212	1.0e-42	167	COG1174	ABC-type proline/glycine betaine transport systems, permease component	221
2513707265	314	50.65	3	308	1	306	3.0e-114	405	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components	309
2513707266	249	45.5	26	247	2	221	2.0e-44	172	COG1174	ABC-type proline/glycine betaine transport systems, permease component	221
2513707267	131	17.99	3	125	2	138	2.0e-06	45.2	COG0346	Lactoylglutathione lyase and related lyases	138
2513707268	818	21.7	1	634	9	631	5.0e-69	256	COG3250	Beta-galactosidase/beta-glucuronidase	808
2513707270	566	37.75	25	565	1	522	0.0e+00	469	COG0318	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	534
2513707271	541	49.09	40	530	3	446	0.0e+00	517	COG0166	Glucose-6-phosphate isomerase	446
2513707272	468	44.47	1	460	14	482	0.0e+00	526	COG0380	Trehalose-6-phosphate synthase	486
2513707273	308	34.07	1	302	1	297	2.0e-41	162	COG0524	Sugar kinases, ribokinase family	311
2513707274	229	31.71	12	214	2	200	5.0e-46	177	COG0461	Orotate phosphoribosyltransferase	201
2513707275	218	25.56	23	202	5	182	2.0e-06	46.6	COG1309	Transcriptional regulator	201
2513707276	274	26.01	6	254	3	275	5.0e-18	85.3	COG0702	Predicted nucleoside-diphosphate-sugar epimerases	275
2513707277	160	51.01	10	158	10	158	1.0e-33	135	COG5500	Predicted integral membrane protein	159
2513707281	392	43.02	212	377	11	181	2.0e-36	147	COG2199	FOG: GGDEF domain	181
2513707282	348	63.19	1	345	2	344	0.0e+00	551	COG0418	Dihydroorotase	344
2513707285	354	39.62	35	351	4	311	4.0e-56	211	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components	316
2513707286	339	28.39	6	322	14	312	4.0e-40	159	COG1879	ABC-type sugar transport system, periplasmic component	322
2513707287	415	28.62	94	403	1	314	2.0e-39	156	COG1940	Transcriptional regulator/sugar kinase	314
2513707288	158	48.97	1	143	1	144	3.0e-46	177	COG4154	Fucose dissimilation pathway protein FucU	144
2513707292	325	28.03	19	278	2	244	3.0e-20	92.6	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707293	252	38.34	5	251	3	251	6.0e-32	131	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707294	203	23.4	1	188	6	189	3.0e-08	52	COG1309	Transcriptional regulator	201
2513707295	255	44.53	16	253	6	250	1.0e-40	160	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707296	222	20.92	13	208	1	190	9.0e-07	47.3	COG1309	Transcriptional regulator	201
2513707297	345	50.58	1	340	1	340	2.0e-123	435	COG3938	Proline racemase	341
2513707298	236	31.87	5	233	4	251	1.0e-32	133	COG1028	Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	251
2513707299	416	26.46	4	416	2	381	5.0e-38	152	COG0665	Glycine/D-amino acid oxidases (deaminating)	387
2513707300	425	58.58	20	394	1	377	4.0e-124	438	COG4782	Uncharacterized protein conserved in bacteria	377
2513707303	298	33.33	15	293	2	310	2.0e-65	242	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
2513707304	211	26.11	13	190	5	184	6.0e-06	44.3	COG1309	Transcriptional regulator	201
2513707305	223	40.11	9	193	11	194	3.0e-43	168	COG3963	Phospholipid N-methyltransferase	194
2513707318	643	30.07	248	389	9	151	4.0e-10	60.3	COG5616	Predicted integral membrane protein	152
2513707319	623	45.33	204	353	2	151	6.0e-40	159	COG5616	Predicted integral membrane protein	152
2513707322	506	24.18	168	497	20	336	7.0e-30	125	COG0642	Signal transduction histidine kinase	336
2513707323	665	39.82	314	617	80	408	5.0e-45	176	COG0840	Methyl-accepting chemotaxis protein	408
2513707324	133	42.16	16	115	6	104	3.0e-15	74.2	COG0594	RNase P protein component	117
2513707325	597	36.76	261	592	1	314	3.0e-74	273	COG0706	Preprotein translocase subunit YidC	314
2513707327	217	45.37	8	212	2	197	5.0e-68	250	COG0218	Predicted GTPase	200
2513707328	69	61.19	1	67	1	65	1.0e-22	98.3	COG1278	Cold shock proteins	67
2513707330	358	34.3	155	358	18	220	8.0e-36	144	COG3920	Signal transduction histidine kinase	221
2513707331	184	48.85	11	184	22	183	5.0e-41	160	COG2335	Secreted and surface protein containing fasciclin-like repeats	187
2513707332	239	48.55	1	239	1	240	4.0e-58	217	COG5343	Uncharacterized protein conserved in bacteria	240
2513707333	179	35.06	9	179	5	177	1.0e-24	105	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog	182
2513707334	295	53.85	25	295	2	265	2.0e-88	318	COG0548	Acetylglutamate kinase	265
2513707335	382	43.32	9	382	1	352	7.0e-107	380	COG1304	L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases	360
2513707336	256	36.23	1	254	1	254	7.0e-54	204	COG2513	PEP phosphonomutase and related enzymes	289
2513707337	357	47.73	1	175	1	176	4.0e-54	205	COG2169	Adenosine deaminase	187
2513707338	509	22.29	3	477	8	476	6.0e-42	165	COG1032	Fe-S oxidoreductase	490
2513707339	241	24.57	13	229	1	229	4.0e-19	88.4	COG1011	Predicted hydrolase (HAD superfamily)	229
2513707341	288	36.16	69	288	4	200	2.0e-44	172	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
2513707342	286	47.9	6	286	1	270	3.0e-87	315	COG2171	Tetrahydrodipicolinate N-succinyltransferase	271
2513707343	397	32.67	5	393	14	408	6.0e-77	281	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	409
2513707345	272	45.14	1	257	1	254	4.0e-88	317	COG0101	Pseudouridylate synthase	266
2513707346	311	49.36	2	308	1	307	8.0e-103	367	COG0223	Methionyl-tRNA formyltransferase	307
2513707347	139	29.37	1	126	3	120	7.0e-14	69.8	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	133
2513707349	171	58.33	1	167	1	168	5.0e-63	233	COG0242	N-formylmethionyl-tRNA deformylase	168
2513707350	498	30.81	139	483	38	407	1.0e-39	158	COG0840	Methyl-accepting chemotaxis protein	408
2513707351	408	32.25	46	408	81	447	1.0e-76	280	COG1322	Uncharacterized protein conserved in bacteria	448
2513707352	299	39.87	1	299	1	307	5.0e-44	171	COG0524	Sugar kinases, ribokinase family	311
2513707353	779	36.2	369	725	25	408	4.0e-54	206	COG0840	Methyl-accepting chemotaxis protein	408
2513707354	154	44.37	3	151	2	152	4.0e-31	127	COG1762	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	152
2513707355	191	34.31	1	100	1	100	5.0e-21	94.1	COG1544	Ribosome-associated protein Y (PSrp-1)	110
2513707356	304	28.57	4	296	1	291	1.0e-09	57.6	COG0697	Permeases of the drug/metabolite transporter (DMT) superfamily	292
2513707357	519	47.71	143	510	75	444	3.0e-129	455	COG1508	DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog	444
2513707358	258	65.7	19	258	2	243	2.0e-113	401	COG1137	ABC-type (unclassified) transport system, ATPase component	243
2513707359	200	32.29	9	199	5	173	2.0e-26	112	COG1934	Uncharacterized protein conserved in bacteria	173
2513707360	221	45.69	20	216	21	216	4.0e-47	181	COG5375	Uncharacterized protein conserved in bacteria	216
2513707361	316	33.11	1	286	6	307	6.0e-53	201	COG0616	Periplasmic serine proteases (ClpP class)	317
2513707362	99	48.39	1	93	2	93	2.0e-26	110	COG0776	Bacterial nucleoid DNA-binding protein	94
2513707364	144	24.31	4	127	13	153	9.0e-09	52.7	COG0456	Acetyltransferases	177
2513707365	151	42.76	1	144	1	143	3.0e-32	131	COG3427	Uncharacterized conserved protein	146
2513707367	318	21.7	12	316	79	393	8.0e-62	230	COG1092	Predicted SAM-dependent methyltransferases	393
2513707368	286	37.69	19	282	1	260	4.0e-59	221	COG0566	rRNA methylases	260
2513707369	167	38.61	10	164	5	161	4.0e-32	130	COG0597	Lipoprotein signal peptidase	167
2513707370	760	37.74	207	470	78	336	7.0e-41	162	COG0642	Signal transduction histidine kinase	336
2513707371	292	49.43	30	292	32	292	7.0e-78	284	COG3176	Putative hemolysin	292
2513707372	761	55.91	1	435	1	425	0.0e+00	569	COG0281	Malic enzyme	432
2513707373	908	48.14	21	905	1	843	0.0e+00	953	COG0249	Mismatch repair ATPase (MutS family)	843
2513707375	968	44.98	58	937	1	867	0.0e+00	995	COG2844	UTP:GlnB (protein PII) uridylyltransferase	867
2513707376	526	41.97	1	515	7	518	1.0e-110	393	COG0728	Uncharacterized membrane protein, putative virulence factor	518
2513707378	132	19.4	9	128	6	138	1.0e-05	42.1	COG0346	Lactoylglutathione lyase and related lyases	138
2513707379	354	45.88	1	334	1	314	5.0e-101	361	COG0180	Tryptophanyl-tRNA synthetase	314
2513707380	163	23.68	10	153	2	153	1.0e-05	42.7	COG0589	Universal stress protein UspA and related nucleotide-binding proteins	154
2513707381	188	43.37	107	187	1	83	1.0e-23	102	COG0694	Thioredoxin-like proteins and domains	93
2513707382	220	31.82	1	211	1	219	1.0e-36	146	COG1214	Inactive homolog of metal-dependent proteases, putative molecular chaperone	220
2513707383	166	31.64	3	166	1	177	1.0e-16	79.7	COG0456	Acetyltransferases	177
2513707384	142	46.67	1	135	1	135	1.0e-33	135	COG0735	Fe2+/Zn2+ uptake regulation proteins	145
2513707385	265	23.11	9	262	3	255	4.0e-22	98.8	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	255
2513707386	473	49.45	24	470	1	437	0.0e+00	542	COG0621	2-methylthioadenine synthetase	437
2513707387	349	50.45	14	347	7	340	2.0e-110	392	COG1702	Phosphate starvation-inducible protein PhoH, predicted ATPase	348
2513707388	171	44.65	4	162	1	150	6.0e-39	153	COG0319	Predicted metal-dependent hydrolase	153
2513707390	534	35.97	1	530	2	514	2.0e-101	363	COG0815	Apolipoprotein N-acyltransferase	518
2513707391	138	17.65	14	130	1	119	7.0e-09	53.1	COG1396	Predicted transcriptional regulators	120
2513707392	412	54.42	1	412	1	388	0.0e+00	564	COG0192	S-adenosylmethionine synthetase	388
2513707393	233	34.96	10	233	1	225	1.0e-57	216	COG0220	Predicted S-adenosylmethionine-dependent methyltransferase	227
2513707395	88	70.45	1	88	1	88	8.0e-27	111	COG5552	Uncharacterized conserved protein	88
2513707396	85	60	1	85	1	85	1.0e-31	127	COG5568	Uncharacterized small protein	85
2513707397	141	32.84	12	138	19	146	2.0e-19	88.1	COG0071	Molecular chaperone (small heat shock protein)	146
2513707398	314	54.49	3	314	1	310	1.0e-116	412	COG1957	Inosine-uridine nucleoside N-ribohydrolase	311
